chamber_name,city,state,membership_status,website,all_links,phone,email,address,image
Albertville Chamber of Commerce,"Albertville, AL",AL,U.S. Chamber Member,"https://maps.google.com/?q=316 Sand Mountain Dr E, Albertville, AL, 35950-2330","https://maps.google.com/?q=316 Sand Mountain Dr E, Albertville, AL, 35950-2330;http://www.albertvillechamberofcommerce.com",,,"316 Sand Mountain Dr E Albertville, AL 35950-2330 Website www.albertvillechamberofcommerce.com",
Arab Chamber of Commerce,"Arab, AL",AL,U.S. Chamber Member,"https://maps.google.com/?q=1157 N Main St, Arab, AL, 35016-1071","https://maps.google.com/?q=1157 N Main St, Arab, AL, 35016-1071;http://arab-chamber.org",,,"1157 N Main St Arab, AL 35016-1071 Website arab-chamber.org",
Athens Limestone County Chamber of Commerce,"Athens, AL",AL,U.S. Chamber Member,"https://maps.google.com/?q=101 S Beaty St, Athens, AL, 35611-2603","https://maps.google.com/?q=101 S Beaty St, Athens, AL, 35611-2603;https://alcchamber.org/",,,"101 S Beaty St Athens, AL 35611-2603 Website alcchamber.org",
Atmore Area Chamber of Commerce,"Atmore, AL",AL,U.S. Chamber Member,"https://maps.google.com/?q=137 N Main St, Atmore, AL, 36502-1711","https://maps.google.com/?q=137 N Main St, Atmore, AL, 36502-1711;http://www.atmorechamber.com",,,"137 N Main St Atmore, AL 36502-1711 Website www.atmorechamber.com",
Auburn Chamber of Commerce,"Auburn, AL",AL,U.S. Chamber Member,"https://maps.google.com/?q=714 E Glenn Ave, Auburn, AL, 36830-5017","https://maps.google.com/?q=714 E Glenn Ave, Auburn, AL, 36830-5017;http://www.auburnchamber.com",,,"714 E Glenn Ave Auburn, AL 36830-5017 Website www.auburnchamber.com",
Bessemer Area Chamber of Commerce,"Bessemer, AL",AL,U.S. Chamber Member,"https://maps.google.com/?q=321 18th St N, Bessemer, AL, 35020-4952","https://maps.google.com/?q=321 18th St N, Bessemer, AL, 35020-4952;http://www.bessemerchamber.com",,,"321 18th St N Bessemer, AL 35020-4952 Website www.bessemerchamber.com",
Birmingham Business Alliance,"Birmingham, AL",AL,U.S. Chamber Member,"https://maps.google.com/?q=505 20th St N, Birmingham, AL, 35203-2605","https://maps.google.com/?q=505 20th St N, Birmingham, AL, 35203-2605;http://www.birminghambusinessalliance.com",,,"505 20th St N Birmingham, AL 35203-2605 Website www.birminghambusinessalliance.com",
Business Council of Alabama,"Montgomery, AL",AL,U.S. Chamber Member,"https://maps.google.com/?q=2 N Jackson St, Montgomery, AL, 36104-3803","https://maps.google.com/?q=2 N Jackson St, Montgomery, AL, 36104-3803;http://www.bcatoday.org",,,"2 N Jackson St Montgomery, AL 36104-3803 Website www.bcatoday.org",
Calhoun County Area Chamber and Visitors Center,"Anniston, AL",AL,U.S. Chamber Member,"https://maps.google.com/?q=1330 Quintard Ave, Anniston, AL, 36201-4620","https://maps.google.com/?q=1330 Quintard Ave, Anniston, AL, 36201-4620;http://www.calhounchamber.com/",,,"1330 Quintard Ave Anniston, AL 36201-4620 Website www.calhounchamber.com",
Central Baldwin Chamber of Commerce,"Robertsdale, AL",AL,U.S. Chamber Member,"https://maps.google.com/?q=23150 Alabama 59, Robertsdale, AL, 36567","https://maps.google.com/?q=23150 Alabama 59, Robertsdale, AL, 36567;http://www.cbchamber.org",,,"23150 Alabama 59 Robertsdale, AL 36567 Website www.cbchamber.org",
