chamber_name,city,state,website,website_guess,website_source,maps_link,member_directory_url,all_links,phone,email,address,image
Alaska Chamber of Commerce,"Anchorage, AK",AK,http://www.alaskachamber.com,,scraped,"https://maps.google.com/?q=2550 Denali St, Anchorage, AK, 99503-2783",,"https://maps.google.com/?q=2550 Denali St, Anchorage, AK, 99503-2783;http://www.alaskachamber.com",,,"2550 Denali St Anchorage, AK 99503-2783",
Anchorage Chamber of Commerce,"Anchorage, AK",AK,http://www.anchoragechamber.org,,scraped,"https://maps.google.com/?q=1016 W 6th Ave, Anchorage, AK, 99501-1963",,"https://maps.google.com/?q=1016 W 6th Ave, Anchorage, AK, 99501-1963;http://www.anchoragechamber.org",,,"1016 W 6th Ave Anchorage, AK 99501-1963",
Chugiak-Eagle River Chamber of Commerce,"Eagle River, AK",AK,http://www.cer.org,,scraped,"https://maps.google.com/?q=12001 Business District, Ste. 108, Eagle River, AK, 99577-0353",,"https://maps.google.com/?q=12001 Business District, Ste. 108, Eagle River, AK, 99577-0353;http://www.cer.org",,,"12001 Business District, Ste. 108 Eagle River, AK 99577-0353",
Denali Chamber of Commerce,"Healy, AK",AK,http://www.denalichamber.com,,scraped,"https://maps.google.com/?q=Mile 0.4 Healy Spur Road, Healy, AK, 99743",,"https://maps.google.com/?q=Mile 0.4 Healy Spur Road, Healy, AK, 99743;http://www.denalichamber.com",,,"4 Healy Spur Road Healy, AK 99743",
Greater Fairbanks Chamber of Commerce,"Fairbanks, AK",AK,http://www.fairbankschamber.org,,scraped,"https://maps.google.com/?q=100 Cushman St, Fairbanks, AK, 99701-4661",,"https://maps.google.com/?q=100 Cushman St, Fairbanks, AK, 99701-4661;http://www.fairbankschamber.org",,,"100 Cushman St Fairbanks, AK 99701-4661",
Greater Ketchikan Chamber of Commerce,"Ketchikan, AK",AK,http://www.ketchikanchamber.com,,scraped,"https://maps.google.com/?q=2417 Tongass Ave, Ketchikan, AK, 99901-5900",,"https://maps.google.com/?q=2417 Tongass Ave, Ketchikan, AK, 99901-5900;http://www.ketchikanchamber.com",,,"2417 Tongass Ave Ketchikan, AK 99901-5900",
Greater Palmer Chamber of Commerce,"Palmer, AK",AK,http://www.palmerchamber.org,,scraped,"https://maps.google.com/?q=P.O Box 45, Palmer, AK, 99645-0001",,"https://maps.google.com/?q=P.O Box 45, Palmer, AK, 99645-0001;http://www.palmerchamber.org",,,"45 Palmer, AK 99645-0001",
Greater Sitka Chamber of Commerce,"Sitka, AK",AK,http://www.sitkachamber.com/,,scraped,"https://maps.google.com/?q=104 Lake St, Sitka, AK, 99835-7559",,"https://maps.google.com/?q=104 Lake St, Sitka, AK, 99835-7559;http://www.sitkachamber.com/",,,"104 Lake St Sitka, AK 99835-7559",
Greater Wasilla Chamber of Commerce,"Wasilla, AK",AK,http://www.wasillachamber.org,,scraped,"https://maps.google.com/?q=1155 E Depot Rd, Wasilla, AK, 99654-8115",,"https://maps.google.com/?q=1155 E Depot Rd, Wasilla, AK, 99654-8115;http://www.wasillachamber.org",,,"1155 E Depot Rd Wasilla, AK 99654-8115",
Homer Chamber of Commerce & Visitor Center,"Homer, AK",AK,http://www.homeralaska.org,,scraped,"https://maps.google.com/?q=201 Sterling Hwy, Homer, AK, 99603-7832",,"https://maps.google.com/?q=201 Sterling Hwy, Homer, AK, 99603-7832;http://www.homeralaska.org",,,"201 Sterling Hwy Homer, AK 99603-7832",
