chamber_name,city,state,website,website_guess,website_source,maps_link,member_directory_url,all_links,phone,email,address,image
Abbeville Chamber of Commerce,"Abbeville, AL",AL,,,none,"https://maps.google.com/?q=P.O Box 202, Abbeville, AL, 36310-0202",,"https://maps.google.com/?q=P.O Box 202, Abbeville, AL, 36310-0202",,,"202 Abbeville, AL 36310-0202",
Albertville Chamber of Commerce,"Albertville, AL",AL,http://www.albertvillechamberofcommerce.com,,scraped,"https://maps.google.com/?q=316 Sand Mountain Dr E, Albertville, AL, 35950-2330",,"https://maps.google.com/?q=316 Sand Mountain Dr E, Albertville, AL, 35950-2330;http://www.albertvillechamberofcommerce.com",,,"316 Sand Mountain Dr E Albertville, AL 35950-2330",
Alexander City Chamber of Commerce,"Alexander City, AL",AL,https://www.alexcitychamber.com/,,scraped,"https://maps.google.com/?q=175 Aliant Pkwy, Alexander City, AL, 35010-3449",,"https://maps.google.com/?q=175 Aliant Pkwy, Alexander City, AL, 35010-3449;https://www.alexcitychamber.com/",,,"175 Aliant Pkwy Alexander City, AL 35010-3449",
Aliceville Area Chamber of Commerce,"Aliceville, AL",AL,http://cityofaliceville.com,,scraped,"https://maps.google.com/?q=419 Memorial Pkwy NE, Aliceville, AL, 35442-2704",,"https://maps.google.com/?q=419 Memorial Pkwy NE, Aliceville, AL, 35442-2704;http://cityofaliceville.com",,,"419 Memorial Pkwy NE Aliceville, AL 35442-2704",
Andalusia Area Chamber of Commerce,"Andalusia, AL",AL,https://www.andalusiachamber.com/,,scraped,"https://maps.google.com/?q=P.O Box 66, Andalusia, AL, 36420-1201",,"https://maps.google.com/?q=P.O Box 66, Andalusia, AL, 36420-1201;https://www.andalusiachamber.com/",,,"66 Andalusia, AL 36420-1201",
Arab Chamber of Commerce,"Arab, AL",AL,http://arab-chamber.org,,scraped,"https://maps.google.com/?q=1157 N Main St, Arab, AL, 35016-1071",,"https://maps.google.com/?q=1157 N Main St, Arab, AL, 35016-1071;http://arab-chamber.org",,,"1157 N Main St Arab, AL 35016-1071",
Ashford Area Chamber of Commerce,"Ashford, AL",AL,,,none,"https://maps.google.com/?q=P.O Box 463, Ashford, AL, 36312-0463",,"https://maps.google.com/?q=P.O Box 463, Ashford, AL, 36312-0463",,,"463 Ashford, AL 36312-0463",
Athens Limestone County Chamber of Commerce,"Athens, AL",AL,https://alcchamber.org/,,scraped,"https://maps.google.com/?q=101 S Beaty St, Athens, AL, 35611-2603",,"https://maps.google.com/?q=101 S Beaty St, Athens, AL, 35611-2603;https://alcchamber.org/",,,"101 S Beaty St Athens, AL 35611-2603",
Atmore Area Chamber of Commerce,"Atmore, AL",AL,http://www.atmorechamber.com,,scraped,"https://maps.google.com/?q=137 N Main St, Atmore, AL, 36502-1711",,"https://maps.google.com/?q=137 N Main St, Atmore, AL, 36502-1711;http://www.atmorechamber.com",,,"137 N Main St Atmore, AL 36502-1711",
Auburn Chamber of Commerce,"Auburn, AL",AL,http://www.auburnchamber.com,,scraped,"https://maps.google.com/?q=714 E Glenn Ave, Auburn, AL, 36830-5017",,"https://maps.google.com/?q=714 E Glenn Ave, Auburn, AL, 36830-5017;http://www.auburnchamber.com",,,"714 E Glenn Ave Auburn, AL 36830-5017",
Bayou La Batre Chamber of Commerce,"Bayou la Batre, AL",AL,,,none,"https://maps.google.com/?q=12745 Padgett Switch Rd., Bayou la Batre, AL, 36509",,"https://maps.google.com/?q=12745 Padgett Switch Rd., Bayou la Batre, AL, 36509",,,"12745 Padgett Switch Rd. Bayou la Batre, AL 36509",
Bessemer Area Chamber of Commerce,"Bessemer, AL",AL,http://www.bessemerchamber.com,,scraped,"https://maps.google.com/?q=321 18th St N, Bessemer, AL, 35020-4952",,"https://maps.google.com/?q=321 18th St N, Bessemer, AL, 35020-4952;http://www.bessemerchamber.com",,,"321 18th St N Bessemer, AL 35020-4952",
Bibb County Chamber of Commerce,"Centreville, AL",AL,,,none,"https://maps.google.com/?q=835 Walnut St, Centreville, AL, 35042-2829",,"https://maps.google.com/?q=835 Walnut St, Centreville, AL, 35042-2829",,,"835 Walnut St Centreville, AL 35042-2829",
Birmingham Business Alliance,"Birmingham, AL",AL,http://www.birminghambusinessalliance.com,,scraped,"https://maps.google.com/?q=505 20th St N, Birmingham, AL, 35203-2605",,"https://maps.google.com/?q=505 20th St N, Birmingham, AL, 35203-2605;http://www.birminghambusinessalliance.com",,,"505 20th St N Birmingham, AL 35203-2605",
Blount County-Oneonta Chamber of Commerce,"Oneonta, AL",AL,http://www.blountoneontachamber.org,,scraped,"https://maps.google.com/?q=P.O Box 1487, Oneonta, AL, 35121-0017",,"https://maps.google.com/?q=P.O Box 1487, Oneonta, AL, 35121-0017;http://www.blountoneontachamber.org",,,"1487 Oneonta, AL 35121-0017",
Boaz Area Chamber of Commerce,"Boaz, AL",AL,https://www.boazareachamber.com/,,scraped,"https://maps.google.com/?q=100 E Bartlett St, Boaz, AL, 35957-1902",,"https://maps.google.com/?q=100 E Bartlett St, Boaz, AL, 35957-1902;https://www.boazareachamber.com/",,,"100 E Bartlett St Boaz, AL 35957-1902",
Bullock County Chamber of Commerce,"Union Springs, AL",AL,http://www.unionspringsalabama.com,,scraped,"https://maps.google.com/?q=P.O Box 203, Union Springs, AL, 36089-0203",,"https://maps.google.com/?q=P.O Box 203, Union Springs, AL, 36089-0203;http://www.unionspringsalabama.com",,,"203 Union Springs, AL 36089-0203",
Business Council of Alabama,"Montgomery, AL",AL,http://www.bcatoday.org,,scraped,"https://maps.google.com/?q=2 N Jackson St, Montgomery, AL, 36104-3803",,"https://maps.google.com/?q=2 N Jackson St, Montgomery, AL, 36104-3803;http://www.bcatoday.org",,,"2 N Jackson St Montgomery, AL 36104-3803",
Calhoun County Area Chamber and Visitors Center,"Anniston, AL",AL,http://www.calhounchamber.com/,,scraped,"https://maps.google.com/?q=1330 Quintard Ave, Anniston, AL, 36201-4620",,"https://maps.google.com/?q=1330 Quintard Ave, Anniston, AL, 36201-4620;http://www.calhounchamber.com/",,,"1330 Quintard Ave Anniston, AL 36201-4620",
Central Baldwin Chamber of Commerce,"Robertsdale, AL",AL,http://www.cbchamber.org,,scraped,"https://maps.google.com/?q=23150 Alabama 59, Robertsdale, AL, 36567",,"https://maps.google.com/?q=23150 Alabama 59, Robertsdale, AL, 36567;http://www.cbchamber.org",,,"23150 Alabama 59 Robertsdale, AL 36567",
Chamber of Commerce Association of Alabama,"Montgomery, AL",AL,http://www.alabamachambers.org,,scraped,"https://maps.google.com/?q=2 N Jackson St, Montgomery, AL, 36104-3803",,"https://maps.google.com/?q=2 N Jackson St, Montgomery, AL, 36104-3803;http://www.alabamachambers.org",,,"2 N Jackson St Montgomery, AL 36104-3803",
Chamber of Commerce of Walker County,"Jasper, AL",AL,http://www.walkerchamber.us/,,scraped,"https://maps.google.com/?q=P.O Box 972, Jasper, AL, 35502-0972",,"https://maps.google.com/?q=P.O Box 972, Jasper, AL, 35502-0972;http://www.walkerchamber.us/",,,"972 Jasper, AL 35502-0972",
